,District_Code,Sex,District,Neighborhood,Population,Neighborhood_Code,Academic_Qualification
274,8,Women,Nou Barris,Torre Baró,208,54,High school / BUP / COU / FPII / CFGM Intermediate Grade
275,8,Women,Nou Barris,Ciutat Meridiana,841,55,High school / BUP / COU / FPII / CFGM Intermediate Grade
276,8,Women,Nou Barris,Vallbona,76,56,High school / BUP / COU / FPII / CFGM Intermediate Grade
277,9,Women,Sant Andreu,la Trinitat Vella,806,57,High school / BUP / COU / FPII / CFGM Intermediate Grade
278,9,Women,Sant Andreu,Baró de Viver,181,58,High school / BUP / COU / FPII / CFGM Intermediate Grade
279,9,Women,Sant Andreu,el Bon Pastor,1190,59,High school / BUP / COU / FPII / CFGM Intermediate Grade
280,9,Women,Sant Andreu,Sant Andreu,6573,60,High school / BUP / COU / FPII / CFGM Intermediate Grade
281,9,Women,Sant Andreu,la Sagrera,3432,61,High school / BUP / COU / FPII / CFGM Intermediate Grade
282,9,Women,Sant Andreu,el Congrés i els Indians,1754,62,High school / BUP / COU / FPII / CFGM Intermediate Grade
283,9,Women,Sant Andreu,Navas,2671,63,High school / BUP / COU / FPII / CFGM Intermediate Grade
284,10,Women,Sant Martí,el Camp de l'Arpa del Clot,4449,64,High school / BUP / COU / FPII / CFGM Intermediate Grade
285,10,Women,Sant Martí,el Clot,3014,65,High school / BUP / COU / FPII / CFGM Intermediate Grade
286,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,1652,66,High school / BUP / COU / FPII / CFGM Intermediate Grade
287,10,Women,Sant Martí,la Vila Olímpica del Poblenou,942,67,High school / BUP / COU / FPII / CFGM Intermediate Grade
288,10,Women,Sant Martí,el Poblenou,3521,68,High school / BUP / COU / FPII / CFGM Intermediate Grade
289,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,1253,69,High school / BUP / COU / FPII / CFGM Intermediate Grade
290,10,Women,Sant Martí,el Besòs i el Maresme,2078,70,High school / BUP / COU / FPII / CFGM Intermediate Grade
291,10,Women,Sant Martí,Provençals del Poblenou,2238,71,High school / BUP / COU / FPII / CFGM Intermediate Grade
292,10,Women,Sant Martí,Sant Martí de Provençals,2841,72,High school / BUP / COU / FPII / CFGM Intermediate Grade
293,10,Women,Sant Martí,la Verneda i la Pau,2884,73,High school / BUP / COU / FPII / CFGM Intermediate Grade
294,1,Women,Ciutat Vella,el Raval,5730,1,University studies / CFGS higher degree
295,1,Women,Ciutat Vella,el Barri Gòtic,3372,2,University studies / CFGS higher degree
296,1,Women,Ciutat Vella,la Barceloneta,2324,3,University studies / CFGS higher degree
297,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4736,4,University studies / CFGS higher degree
298,2,Women,Eixample,el Fort Pienc,6483,5,University studies / CFGS higher degree
299,2,Women,Eixample,la Sagrada Família,10187,6,University studies / CFGS higher degree
300,2,Women,Eixample,la Dreta de l'Eixample,11003,7,University studies / CFGS higher degree
301,7,Women,Horta-Guinardó,Montbau,17,40,No records
302,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,10255,8,University studies / CFGS higher degree
303,2,Women,Eixample,la Nova Esquerra de l'Eixample,12618,9,University studies / CFGS higher degree
304,2,Women,Eixample,Sant Antoni,7219,10,University studies / CFGS higher degree
305,3,Women,Sants-Montjuïc,el Poble Sec,5772,11,University studies / CFGS higher degree
306,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,49,12,University studies / CFGS higher degree
307,3,Women,Sants-Montjuïc,la Marina de Port,2563,13,University studies / CFGS higher degree
308,3,Women,Sants-Montjuïc,la Font de la Guatlla,1657,14,University studies / CFGS higher degree
309,3,Women,Sants-Montjuïc,Hostafrancs,2680,15,University studies / CFGS higher degree
310,3,Women,Sants-Montjuïc,la Bordeta,2578,16,University studies / CFGS higher degree
311,3,Women,Sants-Montjuïc,Sants - Badal,3486,17,University studies / CFGS higher degree
312,3,Women,Sants-Montjuïc,Sants,7188,18,University studies / CFGS higher degree
313,4,Women,Les Corts,les Corts,9687,19,University studies / CFGS higher degree
314,4,Women,Les Corts,la Maternitat i Sant Ramon,4499,20,University studies / CFGS higher degree
315,4,Women,Les Corts,Pedralbes,2598,21,University studies / CFGS higher degree
316,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",869,22,University studies / CFGS higher degree
317,5,Women,Sarrià-Sant Gervasi,Sarrià,5689,23,University studies / CFGS higher degree
318,5,Women,Sarrià-Sant Gervasi,les Tres Torres,3751,24,University studies / CFGS higher degree
319,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,5952,25,University studies / CFGS higher degree
320,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,11418,26,University studies / CFGS higher degree
321,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,7264,27,University studies / CFGS higher degree
322,6,Women,Gràcia,Vallcarca i els Penitents,3178,28,University studies / CFGS higher degree
323,6,Women,Gràcia,el Coll,1191,29,University studies / CFGS higher degree
324,6,Women,Gràcia,la Salut,2769,30,University studies / CFGS higher degree
325,6,Women,Gràcia,la Vila de Gràcia,12182,31,University studies / CFGS higher degree
326,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,7446,32,University studies / CFGS higher degree
327,7,Women,Horta-Guinardó,el Baix Guinardó,4445,33,University studies / CFGS higher degree
328,7,Women,Horta-Guinardó,Can Baró,1381,34,University studies / CFGS higher degree
329,7,Women,Horta-Guinardó,el Guinardó,5888,35,University studies / CFGS higher degree
330,7,Women,Horta-Guinardó,la Font d'en Fargues,1492,36,University studies / CFGS higher degree
331,7,Women,Horta-Guinardó,el Carmel,2487,37,University studies / CFGS higher degree
332,7,Women,Horta-Guinardó,la Teixonera,1124,38,University studies / CFGS higher degree
333,7,Women,Horta-Guinardó,Sant Genís dels Agudells,794,39,University studies / CFGS higher degree
334,7,Women,Horta-Guinardó,Montbau,747,40,University studies / CFGS higher degree
335,7,Women,Horta-Guinardó,la Vall d'Hebron,916,41,University studies / CFGS higher degree
336,7,Women,Horta-Guinardó,la Clota,99,42,University studies / CFGS higher degree
337,7,Women,Horta-Guinardó,Horta,3552,43,University studies / CFGS higher degree
338,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,3187,44,University studies / CFGS higher degree
339,8,Women,Nou Barris,Porta,2610,45,University studies / CFGS higher degree
340,8,Women,Nou Barris,el Turó de la Peira,1352,46,University studies / CFGS higher degree
341,8,Women,Nou Barris,Can Peguera,115,47,University studies / CFGS higher degree
342,8,Women,Nou Barris,la Guineueta,1496,48,University studies / CFGS higher degree
343,8,Women,Nou Barris,Canyelles,506,49,University studies / CFGS higher degree
344,8,Women,Nou Barris,les Roquetes,795,50,University studies / CFGS higher degree
345,8,Women,Nou Barris,Verdun,869,51,University studies / CFGS higher degree
346,8,Women,Nou Barris,la Prosperitat,1866,52,University studies / CFGS higher degree
347,8,Women,Nou Barris,la Trinitat Nova,372,53,University studies / CFGS higher degree
348,8,Women,Nou Barris,Torre Baró,119,54,University studies / CFGS higher degree
349,8,Women,Nou Barris,Ciutat Meridiana,407,55,University studies / CFGS higher degree
350,8,Women,Nou Barris,Vallbona,67,56,University studies / CFGS higher degree
351,9,Women,Sant Andreu,la Trinitat Vella,535,57,University studies / CFGS higher degree
352,9,Women,Sant Andreu,Baró de Viver,83,58,University studies / CFGS higher degree
353,9,Women,Sant Andreu,el Bon Pastor,926,59,University studies / CFGS higher degree
354,9,Women,Sant Andreu,Sant Andreu,7766,60,University studies / CFGS higher degree
355,9,Women,Sant Andreu,la Sagrera,3828,61,University studies / CFGS higher degree
356,9,Women,Sant Andreu,el Congrés i els Indians,2041,62,University studies / CFGS higher degree
357,9,Women,Sant Andreu,Navas,3052,63,University studies / CFGS higher degree
358,10,Women,Sant Martí,el Camp de l'Arpa del Clot,6391,64,University studies / CFGS higher degree
359,10,Women,Sant Martí,el Clot,3852,65,University studies / CFGS higher degree
360,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,2749,66,University studies / CFGS higher degree
361,10,Women,Sant Martí,la Vila Olímpica del Poblenou,2235,67,University studies / CFGS higher degree
362,10,Women,Sant Martí,el Poblenou,5640,68,University studies / CFGS higher degree
363,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,2455,69,University studies / CFGS higher degree
364,10,Women,Sant Martí,el Besòs i el Maresme,1577,70,University studies / CFGS higher degree
365,10,Women,Sant Martí,Provençals del Poblenou,2758,71,University studies / CFGS higher degree
366,10,Women,Sant Martí,Sant Martí de Provençals,2773,72,University studies / CFGS higher degree
367,10,Women,Sant Martí,la Verneda i la Pau,2269,73,University studies / CFGS higher degree
368,1,Women,Ciutat Vella,el Raval,275,1,No records
369,1,Women,Ciutat Vella,el Barri Gòtic,65,2,No records
370,1,Women,Ciutat Vella,la Barceloneta,63,3,No records
371,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",118,4,No records
372,2,Women,Eixample,el Fort Pienc,166,5,No records
373,2,Women,Eixample,la Sagrada Família,228,6,No records
374,2,Women,Eixample,la Dreta de l'Eixample,279,7,No records
375,2,Women,Eixample,la Nova Esquerra de l'Eixample,317,9,No records
376,2,Women,Eixample,Sant Antoni,186,10,No records
377,3,Women,Sants-Montjuïc,el Poble Sec,206,11,No records
378,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,10,12,No records
379,3,Women,Sants-Montjuïc,la Marina de Port,262,13,No records
380,3,Women,Sants-Montjuïc,la Font de la Guatlla,52,14,No records
381,3,Women,Sants-Montjuïc,Hostafrancs,82,15,No records
382,3,Women,Sants-Montjuïc,la Bordeta,115,16,No records
383,3,Women,Sants-Montjuïc,Sants - Badal,135,17,No records
384,3,Women,Sants-Montjuïc,Sants,212,18,No records
385,4,Women,Les Corts,les Corts,255,19,No records
386,4,Women,Les Corts,la Maternitat i Sant Ramon,138,20,No records
387,4,Women,Les Corts,Pedralbes,159,21,No records
388,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",57,22,No records
389,5,Women,Sarrià-Sant Gervasi,Sarrià,288,23,No records
390,5,Women,Sarrià-Sant Gervasi,les Tres Torres,167,24,No records
391,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,287,25,No records
392,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,456,26,No records
393,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,252,27,No records
394,6,Women,Gràcia,Vallcarca i els Penitents,111,28,No records
395,6,Women,Gràcia,el Coll,52,29,No records
396,6,Women,Gràcia,la Salut,55,30,No records
397,6,Women,Gràcia,la Vila de Gràcia,252,31,No records
398,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,192,32,No records
399,7,Women,Horta-Guinardó,el Baix Guinardó,108,33,No records
400,7,Women,Horta-Guinardó,Can Baró,31,34,No records
401,7,Women,Horta-Guinardó,el Guinardó,189,35,No records
402,7,Women,Horta-Guinardó,la Font d'en Fargues,73,36,No records
403,7,Women,Horta-Guinardó,el Carmel,209,37,No records
404,7,Women,Horta-Guinardó,la Teixonera,77,38,No records
405,7,Women,Horta-Guinardó,Sant Genís dels Agudells,47,39,No records
406,7,Women,Horta-Guinardó,la Vall d'Hebron,36,41,No records
407,7,Women,Horta-Guinardó,la Clota,2,42,No records
408,7,Women,Horta-Guinardó,Horta,151,43,No records
409,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,157,44,No records
410,8,Women,Nou Barris,Porta,170,45,No records
411,8,Women,Nou Barris,el Turó de la Peira,110,46,No records
412,8,Women,Nou Barris,Can Peguera,23,47,No records
413,8,Women,Nou Barris,la Guineueta,100,48,No records
414,8,Women,Nou Barris,Canyelles,52,49,No records
415,8,Women,Nou Barris,les Roquetes,124,50,No records
416,8,Women,Nou Barris,Verdun,98,51,No records
417,8,Women,Nou Barris,la Prosperitat,173,52,No records
418,8,Women,Nou Barris,la Trinitat Nova,75,53,No records
419,8,Women,Nou Barris,Torre Baró,41,54,No records
420,8,Women,Nou Barris,Ciutat Meridiana,83,55,No records
421,8,Women,Nou Barris,Vallbona,24,56,No records
422,9,Women,Sant Andreu,la Trinitat Vella,80,57,No records
423,9,Women,Sant Andreu,Baró de Viver,26,58,No records
424,9,Women,Sant Andreu,el Bon Pastor,111,59,No records
425,9,Women,Sant Andreu,Sant Andreu,367,60,No records
426,9,Women,Sant Andreu,la Sagrera,158,61,No records
427,9,Women,Sant Andreu,el Congrés i els Indians,96,62,No records
428,9,Women,Sant Andreu,Navas,151,63,No records
429,10,Women,Sant Martí,el Camp de l'Arpa del Clot,211,64,No records
430,10,Women,Sant Martí,el Clot,194,65,No records
431,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,114,66,No records
432,10,Women,Sant Martí,la Vila Olímpica del Poblenou,104,67,No records
433,10,Women,Sant Martí,el Poblenou,262,68,No records
434,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,104,69,No records
435,10,Women,Sant Martí,el Besòs i el Maresme,189,70,No records
436,10,Women,Sant Martí,Provençals del Poblenou,145,71,No records
437,10,Women,Sant Martí,Sant Martí de Provençals,177,72,No records
438,10,Women,Sant Martí,la Verneda i la Pau,220,73,No records
439,1,Men,Ciutat Vella,el Raval,181,1,Without studies
440,1,Men,Ciutat Vella,el Barri Gòtic,86,2,Without studies
441,1,Men,Ciutat Vella,la Barceloneta,105,3,Without studies
442,1,Men,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",72,4,Without studies
443,2,Men,Eixample,el Fort Pienc,101,5,Without studies
444,2,Men,Eixample,la Sagrada Família,181,6,Without studies
445,2,Men,Eixample,la Dreta de l'Eixample,44,7,Without studies
446,2,Men,Eixample,l'Antiga Esquerra de l'Eixample,83,8,Without studies
447,2,Men,Eixample,la Nova Esquerra de l'Eixample,137,9,Without studies
448,2,Men,Eixample,Sant Antoni,127,10,Without studies
449,3,Men,Sants-Montjuïc,el Poble Sec,165,11,Without studies
450,3,Men,Sants-Montjuïc,la Marina del Prat Vermell,12,12,Without studies
451,3,Men,Sants-Montjuïc,la Marina de Port,226,13,Without studies
452,3,Men,Sants-Montjuïc,la Font de la Guatlla,66,14,Without studies
453,3,Men,Sants-Montjuïc,Hostafrancs,88,15,Without studies
454,3,Men,Sants-Montjuïc,la Bordeta,108,16,Without studies
455,3,Men,Sants-Montjuïc,Sants - Badal,158,17,Without studies
456,3,Men,Sants-Montjuïc,Sants,210,18,Without studies
457,4,Men,Les Corts,les Corts,110,19,Without studies
458,4,Men,Les Corts,la Maternitat i Sant Ramon,100,20,Without studies
459,4,Men,Les Corts,Pedralbes,6,21,Without studies
460,5,Men,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",10,22,Without studies
461,5,Men,Sarrià-Sant Gervasi,Sarrià,33,23,Without studies
462,5,Men,Sarrià-Sant Gervasi,les Tres Torres,4,24,Without studies
463,5,Men,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,15,25,Without studies
464,5,Men,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,27,26,Without studies
465,5,Men,Sarrià-Sant Gervasi,el Putxet i el Farró,32,27,Without studies
466,6,Men,Gràcia,Vallcarca i els Penitents,63,28,Without studies
467,6,Men,Gràcia,el Coll,36,29,Without studies
468,6,Men,Gràcia,la Salut,29,30,Without studies
469,6,Men,Gràcia,la Vila de Gràcia,128,31,Without studies
470,6,Men,Gràcia,el Camp d'en Grassot i Gràcia Nova,97,32,Without studies
471,7,Men,Horta-Guinardó,el Baix Guinardó,144,33,Without studies
472,7,Men,Horta-Guinardó,Can Baró,46,34,Without studies
473,7,Men,Horta-Guinardó,el Guinardó,159,35,Without studies
474,7,Men,Horta-Guinardó,la Font d'en Fargues,36,36,Without studies
475,7,Men,Horta-Guinardó,el Carmel,405,37,Without studies
476,7,Men,Horta-Guinardó,la Teixonera,116,38,Without studies
477,7,Men,Horta-Guinardó,Sant Genís dels Agudells,85,39,Without studies
478,7,Men,Horta-Guinardó,Montbau,57,40,Without studies
479,7,Men,Horta-Guinardó,la Vall d'Hebron,30,41,Without studies
480,7,Men,Horta-Guinardó,la Clota,6,42,Without studies
481,7,Men,Horta-Guinardó,Horta,234,43,Without studies
482,8,Men,Nou Barris,Vilapicina i la Torre Llobeta,184,44,Without studies
483,8,Men,Nou Barris,Porta,283,45,Without studies
484,8,Men,Nou Barris,el Turó de la Peira,170,46,Without studies
485,8,Men,Nou Barris,Can Peguera,15,47,Without studies
486,8,Men,Nou Barris,la Guineueta,145,48,Without studies
487,8,Men,Nou Barris,Canyelles,71,49,Without studies
488,8,Men,Nou Barris,les Roquetes,162,50,Without studies
489,8,Men,Nou Barris,Verdun,144,51,Without studies
490,8,Men,Nou Barris,la Prosperitat,352,52,Without studies
491,8,Men,Nou Barris,la Trinitat Nova,50,53,Without studies
492,8,Men,Nou Barris,Torre Baró,26,54,Without studies
493,8,Men,Nou Barris,Ciutat Meridiana,91,55,Without studies
494,8,Men,Nou Barris,Vallbona,11,56,Without studies
495,9,Men,Sant Andreu,la Trinitat Vella,91,57,Without studies
496,9,Men,Sant Andreu,Baró de Viver,18,58,Without studies
497,9,Men,Sant Andreu,el Bon Pastor,96,59,Without studies
498,9,Men,Sant Andreu,Sant Andreu,275,60,Without studies
499,9,Men,Sant Andreu,la Sagrera,161,61,Without studies
500,9,Men,Sant Andreu,el Congrés i els Indians,76,62,Without studies
501,9,Men,Sant Andreu,Navas,101,63,Without studies
502,10,Men,Sant Martí,el Camp de l'Arpa del Clot,164,64,Without studies
503,10,Men,Sant Martí,el Clot,108,65,Without studies
504,10,Men,Sant Martí,el Parc i la Llacuna del Poblenou,59,66,Without studies
505,10,Men,Sant Martí,la Vila Olímpica del Poblenou,10,67,Without studies
506,10,Men,Sant Martí,el Poblenou,132,68,Without studies
507,10,Men,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,72,69,Without studies
508,10,Men,Sant Martí,el Besòs i el Maresme,273,70,Without studies
509,10,Men,Sant Martí,Provençals del Poblenou,121,71,Without studies
510,10,Men,Sant Martí,Sant Martí de Provençals,189,72,Without studies
511,10,Men,Sant Martí,la Verneda i la Pau,310,73,Without studies
512,1,Men,Ciutat Vella,el Raval,6060,1,Primary education / certificate of schooling / EGB
513,1,Men,Ciutat Vella,el Barri Gòtic,3159,2,Primary education / certificate of schooling / EGB
514,1,Men,Ciutat Vella,la Barceloneta,1358,3,Primary education / certificate of schooling / EGB
515,1,Men,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",1700,4,Primary education / certificate of schooling / EGB
516,2,Men,Eixample,el Fort Pienc,1520,5,Primary education / certificate of schooling / EGB
517,2,Men,Eixample,la Sagrada Família,2160,6,Primary education / certificate of schooling / EGB
518,2,Men,Eixample,la Dreta de l'Eixample,985,7,Primary education / certificate of schooling / EGB
519,2,Men,Eixample,l'Antiga Esquerra de l'Eixample,1097,8,Primary education / certificate of schooling / EGB
520,2,Men,Eixample,la Nova Esquerra de l'Eixample,1895,9,Primary education / certificate of schooling / EGB
521,2,Men,Eixample,Sant Antoni,1875,10,Primary education / certificate of schooling / EGB
522,3,Men,Sants-Montjuïc,el Poble Sec,3408,11,Primary education / certificate of schooling / EGB
523,3,Men,Sants-Montjuïc,la Marina del Prat Vermell,197,12,Primary education / certificate of schooling / EGB
524,3,Men,Sants-Montjuïc,la Marina de Port,3087,13,Primary education / certificate of schooling / EGB
525,3,Men,Sants-Montjuïc,la Font de la Guatlla,622,14,Primary education / certificate of schooling / EGB
526,3,Men,Sants-Montjuïc,Hostafrancs,1080,15,Primary education / certificate of schooling / EGB
527,3,Men,Sants-Montjuïc,la Bordeta,1335,16,Primary education / certificate of schooling / EGB
528,3,Men,Sants-Montjuïc,Sants - Badal,1762,17,Primary education / certificate of schooling / EGB
529,3,Men,Sants-Montjuïc,Sants,2849,18,Primary education / certificate of schooling / EGB
530,4,Men,Les Corts,les Corts,1459,19,Primary education / certificate of schooling / EGB
531,4,Men,Les Corts,la Maternitat i Sant Ramon,951,20,Primary education / certificate of schooling / EGB
532,4,Men,Les Corts,Pedralbes,157,21,Primary education / certificate of schooling / EGB
533,5,Men,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",161,22,Primary education / certificate of schooling / EGB
534,5,Men,Sarrià-Sant Gervasi,Sarrià,497,23,Primary education / certificate of schooling / EGB
535,5,Men,Sarrià-Sant Gervasi,les Tres Torres,186,24,Primary education / certificate of schooling / EGB
536,5,Men,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,421,25,Primary education / certificate of schooling / EGB
537,5,Men,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,556,26,Primary education / certificate of schooling / EGB
538,5,Men,Sarrià-Sant Gervasi,el Putxet i el Farró,474,27,Primary education / certificate of schooling / EGB
539,6,Men,Gràcia,Vallcarca i els Penitents,518,28,Primary education / certificate of schooling / EGB
540,6,Men,Gràcia,el Coll,396,29,Primary education / certificate of schooling / EGB
541,6,Men,Gràcia,la Salut,511,30,Primary education / certificate of schooling / EGB
542,6,Men,Gràcia,la Vila de Gràcia,1765,31,Primary education / certificate of schooling / EGB
543,6,Men,Gràcia,el Camp d'en Grassot i Gràcia Nova,1236,32,Primary education / certificate of schooling / EGB
544,7,Men,Horta-Guinardó,el Baix Guinardó,1130,33,Primary education / certificate of schooling / EGB
545,7,Men,Horta-Guinardó,Can Baró,599,34,Primary education / certificate of schooling / EGB
546,7,Men,Horta-Guinardó,el Guinardó,1788,35,Primary education / certificate of schooling / EGB
547,7,Men,Horta-Guinardó,la Font d'en Fargues,385,36,Primary education / certificate of schooling / EGB
548,7,Men,Horta-Guinardó,el Carmel,3071,37,Primary education / certificate of schooling / EGB
549,7,Men,Horta-Guinardó,la Teixonera,999,38,Primary education / certificate of schooling / EGB
550,7,Men,Horta-Guinardó,Sant Genís dels Agudells,581,39,Primary education / certificate of schooling / EGB
551,7,Men,Horta-Guinardó,Montbau,273,40,Primary education / certificate of schooling / EGB
552,7,Men,Horta-Guinardó,la Vall d'Hebron,319,41,Primary education / certificate of schooling / EGB
553,7,Men,Horta-Guinardó,la Clota,52,42,Primary education / certificate of schooling / EGB
554,7,Men,Horta-Guinardó,Horta,2080,43,Primary education / certificate of schooling / EGB
555,8,Men,Nou Barris,Vilapicina i la Torre Llobeta,1730,44,Primary education / certificate of schooling / EGB
556,8,Men,Nou Barris,Porta,2457,45,Primary education / certificate of schooling / EGB
557,8,Men,Nou Barris,el Turó de la Peira,1385,46,Primary education / certificate of schooling / EGB
558,8,Men,Nou Barris,Can Peguera,250,47,Primary education / certificate of schooling / EGB
559,8,Men,Nou Barris,la Guineueta,1141,48,Primary education / certificate of schooling / EGB
560,8,Men,Nou Barris,Canyelles,761,49,Primary education / certificate of schooling / EGB
561,8,Men,Nou Barris,les Roquetes,1979,50,Primary education / certificate of schooling / EGB
562,8,Men,Nou Barris,Verdun,1290,51,Primary education / certificate of schooling / EGB
563,8,Men,Nou Barris,la Prosperitat,2670,52,Primary education / certificate of schooling / EGB
564,8,Men,Nou Barris,la Trinitat Nova,883,53,Primary education / certificate of schooling / EGB
565,8,Men,Nou Barris,Torre Baró,390,54,Primary education / certificate of schooling / EGB
566,8,Men,Nou Barris,Ciutat Meridiana,1471,55,Primary education / certificate of schooling / EGB
567,8,Men,Nou Barris,Vallbona,186,56,Primary education / certificate of schooling / EGB
568,9,Men,Sant Andreu,la Trinitat Vella,1390,57,Primary education / certificate of schooling / EGB
569,9,Men,Sant Andreu,Baró de Viver,337,58,Primary education / certificate of schooling / EGB
570,6,Men,Gràcia,el Coll,719,29,Elementary school / school graduate / ESO / FPI
571,9,Men,Sant Andreu,el Bon Pastor,1401,59,Primary education / certificate of schooling / EGB
572,9,Men,Sant Andreu,Sant Andreu,3591,60,Primary education / certificate of schooling / EGB
573,9,Men,Sant Andreu,la Sagrera,1861,61,Primary education / certificate of schooling / EGB
574,9,Men,Sant Andreu,el Congrés i els Indians,772,62,Primary education / certificate of schooling / EGB
575,9,Men,Sant Andreu,Navas,1199,63,Primary education / certificate of schooling / EGB
576,10,Men,Sant Martí,el Camp de l'Arpa del Clot,2109,64,Primary education / certificate of schooling / EGB
577,10,Men,Sant Martí,el Clot,1584,65,Primary education / certificate of schooling / EGB
578,10,Men,Sant Martí,el Parc i la Llacuna del Poblenou,825,66,Primary education / certificate of schooling / EGB
579,10,Men,Sant Martí,la Vila Olímpica del Poblenou,216,67,Primary education / certificate of schooling / EGB
580,10,Men,Sant Martí,el Poblenou,1749,68,Primary education / certificate of schooling / EGB
581,10,Men,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,524,69,Primary education / certificate of schooling / EGB
582,10,Men,Sant Martí,el Besòs i el Maresme,3577,70,Primary education / certificate of schooling / EGB
583,10,Men,Sant Martí,Provençals del Poblenou,1469,71,Primary education / certificate of schooling / EGB
584,10,Men,Sant Martí,Sant Martí de Provençals,2012,72,Primary education / certificate of schooling / EGB
585,10,Men,Sant Martí,la Verneda i la Pau,2761,73,Primary education / certificate of schooling / EGB
586,1,Men,Ciutat Vella,el Raval,5969,1,Elementary school / school graduate / ESO / FPI
